order_id,order_date,ship_date,customer_id,product_id,region,category,sub_category,quantity,sales,discount,profit
NM202402292822,24-Feb-2024,25-Feb-2024,CU0236,PR514,South,FURNITURE,Bookcases,8,"$2,119.76",0,839.52
NM202402252375,2024-02-20,2024-02-26,CU0122,PR518,east,OFFICE SUPPLIES,Paper,8,$460.02,0.15,188.02
NM202402529216,10-Feb-2024,17-Feb-2024,CU0151,PR519,Central,Office Supplies,Paper,7,$63.06,0.2,12.73
NM202402195403,22-Feb-2024,26-Feb-2024,CU0066,PR504,west,Technology,Accessories,7,"$4,585.90",0.1,1599.77
NM202402770080,08-Feb-2024,15-Feb-2024,CU0023,PR506,Central ,Technology,Accessories,7,"$4,576.60",0,2278.64
NM202402814009,15-Feb-2024,21-Feb-2024,CU0153,PR511, South,FURNITURE,Chairs,8,$807.91,0.15,306.55
NM202402241668,18-Feb-2024,25-Feb-2024,CU0223,PR506,Central ,technology,Accessories,6,"$3,530.52",0.1,1560.84
NM202402141241,12-Feb-2024,14-Feb-2024,CU0160,PR518,south,OFFICE SUPPLIES,Paper,8,$541.20,0,269.2
NM202402336615,17-Feb-2024,22-Feb-2024,CU0113,PR512,south,FURNITURE,Tables,8,"$5,575.60",0,1515.12
NM202402107740,"Feb 06, 2024","Feb 13, 2024",CU0137,PR517,south,OFFICE SUPPLIES,Binders,8,$601.39,0.15,218.51
NM202402250230,15-Feb-2024,17-Feb-2024,CU0068,PR504, West,Technology,Accessories,1,$727.92,0,301.33
NM202402844521,10-Feb-2024,16-Feb-2024,CU0195,PR519, South,OFFICE SUPPLIES,Paper,6,$47.29,0.3,4.15
NM202402377419,04-Feb-2024,07-Feb-2024,CU0120,PR510, East,furniture,Chairs,7,"$1,358.78",0.2,191.11
NM202402837123,21-Feb-2024,26-Feb-2024,CU0046,PR513, South,Furniture,Tables,3,$533.48,0.3,-54.61
NM202402786518,2024-02-09,2024-02-10,CU0096,PR505,East,Technology,Accessories,3,$582.72,0,245.16
NM202402226572,08-Feb-2024,11-Feb-2024,CU0177,PR503,WEST,technology,Phones,3,$394.97,0.15,100.7
NM202402931629,10-Feb-2024,17-Feb-2024,CU0219,PR503,West,Technology,Phones,5,$619.56,0.2,129.11
NM202402500539,18-Feb-2024,24-Feb-2024,CU0110,PR505,West,technology,Accessories,8,"$1,087.74",,187.58
NM202402722101,15-Feb-2024,22-Feb-2024,CU0164,PR517,central,OFFICE SUPPLIES,Binders,3,$159.19,0.4,15.61
NM202402550141,02-Feb-2024,03-Feb-2024,CU0117,PR502,South ,technology,Phones,4,"$1,141.92",0.1,492.16
NM202402396704,07-Feb-2024,09-Feb-2024,CU0083,PR515,Central ,furniture,Bookcases,6,"$3,433.86",0,1533.18
NM202402898353,"Feb 25, 2024","Feb 29, 2024",CU0237,PR510,WEST,Furniture,Chairs,3,$618.73,0.15,118.3
NM202402114910,09-Feb-2024,11-Feb-2024,CU0111,PR518,EAST,OFFICE SUPPLIES,Paper,3,$142.06,0.3,40.06
NM202402176253,17-Feb-2024,20-Feb-2024,CU0182,PR513,EAST,Furniture,Tables,3,$457.27,0.4,-130.82
NM202402702328,13-Feb-2024,15-Feb-2024,CU0123,PR512,Central,furniture,Tables,5,"$3,136.28",0.1,598.47
NM202402664647,2024-02-08,2024-02-13,CU0166,PR516,Central ,office supplies,Binders,7,$67.48,0,33.32
NM202402813232,05-Feb-2024,12-Feb-2024,CU0033,PR510,South ,Furniture,Chairs,1,$206.24,0.15,39.43
NM202402373197,06-Feb-2024,10-Feb-2024,CU0047,PR513, East,FURNITURE,Tables,5,"$1,270.20",0,290.05
NM202402186167,15-Feb-2024,19-Feb-2024,CU0161,PR523,central,Office Supplies,Art,7,$357.21,0,86.66
NM202402863064,26-Feb-2024,04-Mar-2024,CU0055,PR507,West,Technology,Machines,8,$136.61,0.6,-22.19
NM202402137528,2024-02-27,2024-03-05,CU0085,PR511,West ,Furniture,Chairs,8,$665.34,0.3,163.98
NM202402605136,10-Feb-2024,16-Feb-2024,CU0195,PR504,south,Technology,Accessories,2,"$1,455.84",0,602.66
NM202402256528,04-Feb-2024,09-Feb-2024,CU0236,PR517,SOUTH,Office Supplies,Binders,2,$70.75,0.6,-24.97
NM202402659231,20-Feb-2024,27-Feb-2024,CU0002,PR508, West,technology,Machines,8,"$1,101.36",0.4,155.44
NM202402447024,10-Feb-2024,12-Feb-2024,CU0240,PR523,East ,OFFICE SUPPLIES,Art,6,$260.25,0.15,28.35
NM202402509049,"Feb 11, 2024","Feb 14, 2024",CU0233,PR505,East,Technology,Accessories,1,$174.82,0.1,62.3
NM202402592797,10-Feb-2024,14-Feb-2024,CU0236,PR512,south,Furniture,Tables,6,"$4,181.70",0,1136.34
NM202402234378,14-Feb-2024,19-Feb-2024,CU0002,PR505,WEST,technology,Accessories,2,$388.48,0,
NM202402392912,24-Feb-2024,25-Feb-2024,CU0228,PR504,West ,Technology,Accessories,6,"$3,712.39",0.15,1152.85
NM202402297129,03-Feb-2024,09-Feb-2024,CU0009,PR519,West,Office Supplies,Paper,6,$67.56,0,24.42
NM202402962568,03-Feb-2024,09-Feb-2024,CU0158,PR523,SOUTH,Office Supplies,Art,4,$142.88,0.3,-11.72
NM202402848235,2024-02-29,2024-03-02,CU0120,PR519,East ,office supplies,Paper,4,$27.02,0.4,-1.74
NM202402797680,27-Feb-2024,28-Feb-2024,CU0076,PR513, Central,Furniture,Tables,8,"$1,829.09",0.1,260.85
NM202402955989,2024-02-17,2024-02-18,CU0062,PR505,central,TECHNOLOGY,Accessories,6,$932.35,0.2,257.23
NM202402852617,2024-02-16,2024-02-23,CU0154,PR512,SOUTH,furniture,Tables,4,"$2,230.24",0.2,200.0
NM202402915270,17-Feb-2024,23-Feb-2024,CU0149,PR518,west,office supplies,Paper,8,$432.96,0.2,160.96
NM202402990672,29-Feb-2024,07-Mar-2024,CU0020,PR514,Central,Furniture,Bookcases,3,$715.42,0.1,235.33
NM202402185653,07-Feb-2024,14-Feb-2024,CU0207,PR519, Central,Office Supplies,Paper,2,$19.14,0.15,4.76
NM202402679347,"Feb 16, 2024","Feb 22, 2024",CU0055,PR522,west,Office Supplies,Storage,4,$150.08,0.1,62.0
NM202402899064,02-Feb-2024,08-Feb-2024,CU0119,PR523,West,Office Supplies,Art,3,$153.09,0,37.14
NM202402466131,17-Feb-2024,23-Feb-2024,CU0183,PR524, Central,Office Supplies,Art,1,$84.51,,18.57
NM202402514159,20-Feb-2024,24-Feb-2024,CU0049,PR511,central,Furniture,Chairs,3,$356.43,0,168.42
NM202402339095,18-Feb-2024,20-Feb-2024,CU0202,PR502, Central,technology,Phones,3,$666.12,0.3,178.8
