order_id,order_date,ship_date,customer_id,product_id,region,category,sub_category,quantity,sales,discount,profit
NM202403188034,"Mar 01, 2024","Mar 05, 2024",CU0108,PR507,EAST,Technology,Machines,4,$136.61,0.2,57.21
NM202403930187,2024-03-29,2024-03-30,CU0143,PR515,SOUTH,Furniture,Bookcases,1,$572.31,0,255.53
NM202403198225,"Mar 02, 2024","Mar 02, 2024",CU0130,PR505,Central ,technology,Accessories,4,$776.96,,326.88
NM202403729803,"Mar 09, 2024","Mar 10, 2024",CU0101,PR504,South ,Technology,Accessories,5,"$3,639.60",0,1506.65
NM202403550748,"Mar 04, 2024","Mar 06, 2024",CU0012,PR502,CENTRAL,Technology,Phones,2,$380.64,0.4,55.76
NM202403869333,"Mar 12, 2024","Mar 15, 2024",CU0118,PR503,south,Technology,Phones,8,"$1,239.12",0,454.4
NM202403548098,"Mar 25, 2024","Mar 30, 2024",CU0127,PR506,South ,Technology,Accessories,8,"$5,230.40",0,2604.16
NM202403598136,"Mar 28, 2024","Mar 31, 2024",CU0198,PR516,East ,OFFICE SUPPLIES,Binders,1,$9.64,0,4.76
NM202403961692,"Mar 21, 2024","Mar 27, 2024",CU0063,PR507,CENTRAL,Technology,Machines,6,$179.30,0.3,60.2
NM202403458148,"Mar 19, 2024","Mar 26, 2024",CU0125,PR524,east,Office Supplies,Art,8,$676.08,,148.56
NM202403300195,"Mar 19, 2024","Mar 21, 2024",CU0053,PR523, East,office supplies,Art,3,$130.13,0.15,14.18
NM202403740860,"Mar 15, 2024","Mar 16, 2024",CU0208,PR523,WEST,Office Supplies,Art,3,$153.09,0,37.14
NM202403467248,2024-03-28,2024-03-29,CU0226,PR505,EAST,Technology,Accessories,4,$543.87,0.3,93.79
NM202403825577,"Mar 04, 2024","Mar 04, 2024",CU0166,PR524,CENTRAL,office supplies,Art,2,$169.02,0,37.14
NM202403495895,"Mar 12, 2024","Mar 18, 2024",CU0090,PR503,South ,Technology,Phones,5,$697.00,0.1,206.55
NM202403120998,"Mar 30, 2024","Apr 04, 2024",CU0208,PR519,WEST,OFFICE SUPPLIES,Paper,8,$90.08,0,32.56
